German,English
hallo,Hello/Hi
tschüss,Bye/see you
Entschuldigung,Sorry & excuse me
Danke,Thanks
Bitte,You’re welcome & please
Die Liebe,The love
Das Hotel,The Hotel
Das Zimmer,The room
Das Auto,The car
Das Fahrrad,The bicycle
Der Bus,The bus
Der Zug,The train
Das Flugzeug,The airplane
Der Bahnhof,The train station
Der Flughafen,The airport
Die Rechnung,The bill
Das Geld,The money
Das Wasser,The water
Das Glas,The glass
Die Flasche,The bottle
Das Essen,The food
Das Getränk,The drink
essen,to eat
trinken,to drink
gehen,to go
fahren,to drive & go by
laufen,to walk
sehen,to see
hören,to hear
(zu)schauen,to watch
rennen,to run
fliegen,to fly
reden,to talk
sprechen,to speak
erklären,to explain
telefonieren,to phone
wandern,to hike
sitzen,to sit
stehen,to stand
bleiben,to stay(remain)
Die Toilette,The toilet
Die Hilfe,The help
Der Arzt,The physician/doctor
krank,sick
Das Krankenhaus,The hospital
Der Strand,The beach
Das Meer,The sea
Der Berg,The mountain
Der Urlaub,The holiday
Der Mensch,The human
Der Schnee,The snow
Das Eis,The ice
Das Eis,The ice cream
Der Eiswürfel,The ice cube
Die Uhr,The watch/clock/o’clock
Die Zeit,The time
Die Stunde,The hour
Die Minute,The minute
Die Sekunde,The second
Der Tag,The day
Die Nacht,The night
heute,today
morgen,tomorrow
Der Morgen,The morning
Der Abend,The evening
früh,early
spät,late
kalt,cold
heiß,hot
gut,good
schlecht,bad
nett,nice
schön,beautiful
hübsch,pretty
hässlich,ugly
angenehm,compfortable/nice
laut,loud
leise,quiet
vorne,front (of)
hinten,behind/ in the back
oben,on top/above/up
unten,below/underneath/down
Der Norden,The North
Der Osten,The East
Der Süden,The South
Der Westen,The West
Die Straße,The street
Die Kreuzung,The crossroad/junction
Das Haus,The house
Der Baum,The tree
Der Park,The park
Der Garten,The garden
Das Schild,The street sign
Der Mann,The man
Die Frau,The woman
Das Kind,The child
prost!,Cheers!
Das Bier,The beer
Der Wein,The wine
Der Alkohol,The alcohol